餐厅名称,城市,区域,美食类型,综合评分,口味评分,环境评分,服务评分,人均消费(元),点评数量,地址,推荐菜,推荐菜_清洗,价格等级,评分等级,口碑均衡度,热门度,推荐菜列表,是否高性价比
面馆,上海,松江区,面馆,3.6,3.7,3.9,3.8,32.0,22,上海松江区万象城徐家汇街734号B2层,牛肉面、馄饨、兰州拉面,牛肉面、馄饨、兰拉面,中低(31-60),良好(3.5-4),0.1,0.42,"['牛肉面', '馄饨', '兰州拉面']",False
本帮菜舍,上海,长宁区,本帮菜,3.6,3.5,3.6,3.7,149.0,5040,上海长宁区南京巷550号,红烧肉、酒酿圆子、蟹粉豆腐,红烧肉、酒酿、粉豆腐,中高(101-200),良好(3.5-4),0.1,124.13,"['红烧肉', '酒酿圆子', '蟹粉豆腐']",False
百年馆,成都,成华区,面馆,3.6,3.5,3.5,3.8,16.0,667,成都成华区万达广场宽窄街687号西区3层,炸酱面、刀削面、臊子面,酱面、刀面、臊面,低消费(≤30),良好(3.5-4),0.17,16.32,"['炸酱面', '刀削面', '臊子面']",False
明婷记,南京,秦淮区,川菜,3.9,3.8,3.6,3.7,75.0,2113,南京秦淮区河西大道218号6楼,水煮鱼、麻婆豆腐、担担面,、麻婆豆腐、担担面,中等(61-100),良好(3.5-4),0.1,56.3,"['水煮鱼', '麻婆豆腐', '担担面']",False
小粤菜记,深圳,龙华区,粤菜,3.3,3.2,2.8,3.4,125.0,5,深圳龙华区ifc东门街812号6楼,叉烧、肠粉、虾饺,叉烧、肠粉、饺,中高(101-200),一般(3-3.5),0.31,0.0,"['叉烧', '肠粉', '虾饺']",False
新疆,重庆,南岸区,新疆菜,4.8,4.8,4.7,4.7,65.0,20,重庆南岸区解放碑大道996号,烤包子、手抓饭、拉条子,烤包、饭、拉,中等(61-100),卓越(≥4.5),0.06,0.49,"['烤包子', '手抓饭', '拉条子']",True
一面店,苏州,工业园区,面馆,3.4,3.5,3.9,3.2,15.0,1111,苏州工业园区平江弄970号B1层,馄饨、牛肉面、兰州拉面,馄饨、牛肉面、兰拉面,低消费(≤30),一般(3-3.5),0.35,25.75,"['馄饨', '牛肉面', '兰州拉面']",False
川菜,武汉,汉阳区,川菜,3.5,3.5,4.0,3.3,40.0,228,武汉汉阳区万达广场江汉街231号B2层,宫保鸡丁、辣子鸡、回锅肉,宫保鸡丁、辣鸡、回锅肉,中低(31-60),一般(3-3.5),0.36,5.35,"['宫保鸡丁', '辣子鸡', '回锅肉']",False
老汤,上海,徐汇区,面馆,3.7,4.1,3.7,3.6,18.0,292,上海徐汇区来福士虹桥巷195号1楼,刀削面、热干面、炸酱面,刀面、热干面、酱面,低消费(≤30),良好(3.5-4),0.26,7.27,"['刀削面', '热干面', '炸酱面']",False
烧烤,上海,浦东新区,烧烤,4.4,4.7,4.5,4.4,62.0,153,上海浦东新区恒隆广场虹桥街896号东区1层,烤鱼、烤鸡翅、烤韭菜,烤、烤鸡翅、烤韭菜,中等(61-100),优秀(4-4.5),0.15,4.46,"['烤鱼', '烤鸡翅', '烤韭菜']",True
海鲜,北京,西城区,海鲜,3.5,3.6,3.8,3.1,199.0,236,北京西城区三里屯街304号,葱姜炒蟹、蒜蓉生蚝、海胆蒸蛋,葱姜炒、蓉蚝、海胆蛋,中高(101-200),一般(3-3.5),0.36,5.54,"['葱姜炒蟹', '蒜蓉生蚝', '海胆蒸蛋']",False
坎,武汉,汉阳区,火锅,4.0,4.3,4.5,4.1,115.0,224,武汉汉阳区凯德中南路430号南区1层,酥肉、鸭肠、肥牛,肉、肠、肥牛,中高(101-200),良好(3.5-4),0.2,6.0,"['酥肉', '鸭肠', '肥牛']",False
鑫一味,杭州,滨江区,日料,3.8,3.7,3.5,4.2,152.0,1088,杭州滨江区恒隆广场武林大道292号南区3层,鳗鱼饭、三文鱼刺身、味噌汤,鳗饭、三刺、噌,中高(101-200),良好(3.5-4),0.36,28.18,"['鳗鱼饭', '三文鱼刺身', '味噌汤']",False
龙蜀大侠,重庆,南岸区,火锅,4.2,4.3,4.0,4.3,61.0,340,重庆南岸区来福士观音桥大道518号东区1层,鸭血、黄喉、虾滑,、黄喉、滑,中等(61-100),优秀(4-4.5),0.17,9.64,"['鸭血', '黄喉', '虾滑']",True
海鲜,上海,黄浦区,海鲜,4.0,3.7,3.9,4.4,233.5,37,上海黄浦区五角场弄152号,清蒸石斑鱼、海胆蒸蛋、白灼虾,清斑、海胆蛋、白,高端(>200),良好(3.5-4),0.36,0.88,"['清蒸石斑鱼', '海胆蒸蛋', '白灼虾']",False
聚私房菜,上海,虹口区,私房菜,3.8,3.7,3.3,3.6,153.0,1552,上海虹口区四川大道802号南区1层,私房豆腐、招牌煲仔、功夫汤,房豆腐、牌煲、功夫,中高(101-200),良好(3.5-4),0.21,40.26,"['私房豆腐', '招牌煲仔', '功夫汤']",False
盛西餐坊,上海,闵行区,西餐,4.1,4.5,3.7,4.5,136.0,880,上海闵行区徐家汇巷696号,沙拉、提拉米苏、披萨,沙拉、拉米、披萨,中高(101-200),优秀(4-4.5),0.46,24.57,"['沙拉', '提拉米苏', '披萨']",False
鑫面馆庄,杭州,西湖区,面馆,3.4,3.2,3.1,3.5,15.0,25,杭州西湖区太古里延安弄948号,炸酱面、刀削面、热干面,酱面、刀面、热干面,低消费(≤30),一般(3-3.5),0.21,0.47,"['炸酱面', '刀削面', '热干面']",False
面包小馆,苏州,虎丘区,面包甜点,4.2,3.9,4.0,4.4,36.0,39,苏州虎丘区来福士狮山弄309号,慕斯蛋糕、提拉米苏、菠萝包,慕蛋糕、拉米、菠萝包,中低(31-60),优秀(4-4.5),0.26,0.98,"['慕斯蛋糕', '提拉米苏', '菠萝包']",True
本帮菜居,苏州,虎丘区,本帮菜,4.0,3.7,4.1,3.6,104.0,100,苏州虎丘区观前街689号,酒酿圆子、生煎包、糖醋排骨,酒酿、煎包、醋排骨,中高(101-200),良好(3.5-4),0.26,2.6,"['酒酿圆子', '生煎包', '糖醋排骨']",False
老粤菜楼,武汉,汉阳区,粤菜,3.1,3.2,2.6,2.9,45.0,31,武汉汉阳区楚河汉街弄476号,叉烧、煲仔饭、豉汁蒸排骨,叉烧、煲饭、豉排骨,中低(31-60),一般(3-3.5),0.3,0.55,"['叉烧', '煲仔饭', '豉汁蒸排骨']",False
烧烤,重庆,九龙坡区,烧烤,4.1,4.0,4.5,3.7,68.0,628,重庆九龙坡区万象城北城天街街861号,扇贝、骨肉相连、烤韭菜,扇贝、骨肉连、烤韭菜,中等(61-100),优秀(4-4.5),0.4,17.49,"['扇贝', '骨肉相连', '烤韭菜']",True
小串,杭州,上城区,烧烤,3.4,3.8,3.5,3.5,76.0,79,杭州上城区龙湖天街延安街853号4楼,烤鱼、羊肉串、骨肉相连,烤、肉串、骨肉连,中等(61-100),一般(3-3.5),0.17,1.72,"['烤鱼', '羊肉串', '骨肉相连']",False
火锅餐厅,成都,青羊区,火锅,4.2,4.5,3.5,3.8,101.0,1369,成都青羊区ifc锦里大道685号,鸭血、肥牛、藕片,、肥牛、藕片,中高(101-200),优秀(4-4.5),0.51,39.23,"['鸭血', '肥牛', '藕片']",False
韩国,南京,江宁区,韩国料理,3.7,3.6,3.1,3.9,121.0,229,南京江宁区湖南路482号南区1层,炒年糕、石锅拌饭、炸鸡,炒年糕、锅拌饭、鸡,中高(101-200),良好(3.5-4),0.4,5.68,"['炒年糕', '石锅拌饭', '炸鸡']",False
本帮菜阁,上海,黄浦区,本帮菜,4.1,4.1,4.1,4.2,91.0,779,上海黄浦区ifc五角场弄987号,生煎包、红烧肉、八宝鸭,煎包、红烧肉、八宝,中等(61-100),优秀(4-4.5),0.06,21.73,"['生煎包', '红烧肉', '八宝鸭']",False
蓉火锅舍,杭州,萧山区,火锅,4.3,4.2,4.4,4.2,154.0,14,杭州萧山区大悦城西湖弄439号东区3层,肥牛、鸭肠、虾滑,肥牛、肠、滑,中高(101-200),优秀(4-4.5),0.12,0.27,"['肥牛', '鸭肠', '虾滑']",False
海底风味舍,南京,建邺区,火锅,3.6,3.4,3.6,3.8,69.0,34,南京建邺区万象城中山巷846号,黄喉、豆皮、酥肉,黄喉、豆皮、肉,中等(61-100),良好(3.5-4),0.2,0.71,"['黄喉', '豆皮', '酥肉']",False
咖啡厅,深圳,宝安区,咖啡厅,3.5,3.4,4.0,3.6,58.0,322,深圳宝安区太古里深南街738号4楼,抹茶拿铁、华夫饼、提拉米苏,抹茶拿、华夫饼、拉米,中低(31-60),一般(3-3.5),0.31,7.6,"['抹茶拿铁', '华夫饼', '提拉米苏']",False
小吃,武汉,武昌区,小吃快餐,3.8,3.7,4.0,3.8,12.0,1920,武汉武昌区万达广场光谷巷278号西区1层,麻辣烫、煎饼果子、酸辣粉,麻辣、煎饼果、辣粉,低消费(≤30),良好(3.5-4),0.15,49.84,"['麻辣烫', '煎饼果子', '酸辣粉']",False
赤坂亭馆,重庆,渝北区,日料,4.2,4.5,4.0,4.5,107.0,222,重庆渝北区凯德解放碑弄130号,鳗鱼饭、章鱼小丸子、拉面,鳗饭、、拉面,中高(101-200),优秀(4-4.5),0.29,6.24,"['鳗鱼饭', '章鱼小丸子', '拉面']",False
自助料理,武汉,武昌区,自助餐,3.3,3.1,3.0,3.2,49.0,194,武汉武昌区恒隆广场中南路156号,三文鱼、冰淇淋、海鲜拼盘,三、冰淇淋、海拼盘,中低(31-60),一般(3-3.5),0.1,4.27,"['三文鱼', '冰淇淋', '海鲜拼盘']",False
